miRNA_ID,n_samples,n_disease,n_benign,accuracy,auc,mean_prob
hsa-mir-206,2,2,0,1.0,,0.566
hsa-mir-1253,2,0,2,0.0,,0.7796
hsa-mir-1289-2,2,0,2,1.0,,0.342
hsa-mir-8070,2,0,2,0.0,,0.8119
hsa-mir-532,2,2,0,0.0,,0.2443
hsa-mir-8081,2,0,2,1.0,,0.2939
hsa-mir-507,2,2,0,0.0,,0.4573
hsa-mir-8063,2,0,2,0.0,,0.6112
hsa-mir-548h-4,2,0,2,1.0,,0.2486
hsa-mir-302b,2,1,1,0.5,0.0,0.7812
hsa-mir-135a-2,2,2,0,1.0,,0.6394
hsa-mir-5195,2,1,1,0.5,1.0,0.6628
hsa-mir-5191,2,0,2,0.0,,0.6923
hsa-mir-192,2,2,0,0.0,,0.3626
hsa-mir-3916,2,0,2,0.0,,0.6698
hsa-mir-6800,2,2,0,1.0,,0.8124
hsa-mir-4427,2,0,2,0.0,,0.7457
hsa-mir-6730,2,1,1,0.5,0.0,0.5366
hsa-mir-548aw,2,1,1,0.5,0.0,0.1334
hsa-mir-609,2,0,2,0.0,,0.5255
hsa-mir-423,2,2,0,0.0,,0.2536
hsa-mir-2110,2,0,2,0.0,,0.933
hsa-mir-4267,2,0,2,0.5,,0.4613
hsa-mir-12132,2,0,2,0.0,,0.828
hsa-mir-4754,2,0,2,0.0,,0.6258
hsa-mir-5692a-1,2,1,1,0.5,0.0,0.3933
hsa-mir-526a-1,2,2,0,1.0,,0.9083
hsa-mir-466,2,0,2,1.0,,0.237
hsa-mir-936,2,0,2,1.0,,0.1155
hsa-mir-3130-2,2,1,1,0.5,1.0,0.1419
hsa-mir-6071,2,0,2,1.0,,0.1755
hsa-mir-4256,2,1,1,1.0,1.0,0.4747
hsa-mir-4294,2,1,1,0.5,0.0,0.5866
hsa-mir-942,2,1,1,0.5,0.0,0.5867
hsa-mir-3116-1,2,0,2,1.0,,0.1665
hsa-mir-3910-1,2,0,2,0.0,,0.7308
hsa-mir-520f,2,1,1,0.5,0.0,0.8873
hsa-mir-27a,2,1,1,0.5,1.0,0.3578
hsa-mir-4268,2,1,1,0.5,0.0,0.2848
hsa-mir-5692a-2,2,0,2,1.0,,0.2096
hsa-mir-544b,2,1,1,0.5,0.0,0.3438
hsa-mir-100,2,2,0,1.0,,0.7585
hsa-mir-4794,2,0,2,1.0,,0.3784
hsa-mir-1469,1,0,1,1.0,,0.3409
hsa-mir-4750,1,1,0,0.0,,0.3993
hsa-mir-6506,1,1,0,1.0,,0.6423
hsa-mir-1244-3,1,1,0,1.0,,0.8716
hsa-mir-1538,1,0,1,1.0,,0.3159
hsa-mir-6746,1,0,1,1.0,,0.3758
hsa-mir-6777,1,0,1,1.0,,0.25
hsa-mir-320e,1,0,1,1.0,,0.3621
hsa-mir-4733,1,0,1,1.0,,0.3337
hsa-mir-4780,1,0,1,1.0,,0.2527
hsa-mir-4674,1,0,1,0.0,,0.6993
hsa-mir-3610,1,1,0,1.0,,0.5022
hsa-mir-509-1,1,1,0,1.0,,0.6424
hsa-mir-3135b,1,0,1,1.0,,0.3213
hsa-mir-6828,1,0,1,1.0,,0.346
hsa-mir-4679-1,1,0,1,1.0,,0.3533
hsa-mir-4315-2,1,1,0,0.0,,0.4325
hsa-mir-4773-2,1,1,0,0.0,,0.3709
hsa-mir-19b-1,1,1,0,1.0,,0.6149
hsa-mir-8068,1,0,1,1.0,,0.3767
hsa-mir-29b-2,1,1,0,1.0,,0.5051
hsa-mir-517b,1,1,0,0.0,,0.4675
hsa-mir-6074,1,1,0,1.0,,0.5018
hsa-mir-6775,1,1,0,0.0,,0.3374
hsa-mir-1270,1,0,1,0.0,,0.6075
hsa-mir-564,1,1,0,1.0,,0.5612
hsa-mir-3678,1,0,1,0.0,,0.5554
hsa-mir-4708,1,0,1,0.0,,0.5811
hsa-mir-6883,1,1,0,0.0,,0.3356
hsa-mir-10395,1,0,1,1.0,,0.3146
hsa-mir-1843,1,0,1,0.0,,0.6053
hsa-mir-4463,1,0,1,1.0,,0.3781
hsa-mir-6848,1,1,0,0.0,,0.3976
hsa-mir-6770-3,1,0,1,0.0,,0.7468
hsa-mir-302e,1,1,0,0.0,,0.4887
hsa-mir-4436a,1,0,1,1.0,,0.3629
hsa-mir-6504,1,0,1,1.0,,0.1249
hsa-mir-600,1,0,1,0.0,,0.7953
hsa-mir-5707,1,0,1,1.0,,0.1409
hsa-mir-499b,1,0,1,1.0,,0.2658
hsa-mir-8082,1,1,0,0.0,,0.4085
hsa-mir-4424,1,0,1,0.0,,0.6864
hsa-mir-7849,1,0,1,1.0,,0.3209
hsa-mir-5701-3,1,1,0,1.0,,0.5212
hsa-mir-4688,1,1,0,0.0,,0.3946
hsa-mir-7973-2,1,1,0,0.0,,0.1985
hsa-mir-7975,1,1,0,0.0,,0.3598
hsa-mir-1180,1,1,0,1.0,,0.5004
hsa-mir-6795,1,1,0,0.0,,0.462
hsa-mir-4274,1,0,1,0.0,,0.5502
hsa-mir-6763,1,0,1,1.0,,0.3775
hsa-mir-4478,1,0,1,1.0,,0.2926
hsa-mir-122b,1,0,1,1.0,,0.383
hsa-mir-376a-2,1,1,0,1.0,,0.6314
hsa-mir-4749,1,0,1,1.0,,0.1916
hsa-mir-601,1,1,0,0.0,,0.351
hsa-mir-4303,1,0,1,1.0,,0.3375
hsa-mir-4635,1,0,1,1.0,,0.1338
hsa-mir-4756,1,0,1,1.0,,0.4976
hsa-mir-6816,1,0,1,1.0,,0.3781
hsa-mir-3923,1,1,0,1.0,,0.6517
hsa-mir-4763,1,0,1,1.0,,0.4962
hsa-mir-28,1,0,1,1.0,,0.4537
hsa-mir-4470,1,0,1,1.0,,0.2321
hsa-mir-4317,1,0,1,1.0,,0.3013
hsa-mir-378h,1,0,1,0.0,,0.6237
hsa-mir-6075,1,0,1,1.0,,0.4328
hsa-mir-4460,1,0,1,0.0,,0.5941
hsa-mir-4443,1,0,1,1.0,,0.3222
hsa-mir-7704,1,1,0,0.0,,0.3566
hsa-mir-1226,1,1,0,0.0,,0.3715
hsa-mir-6813,1,0,1,1.0,,0.0885
hsa-mir-181c,1,1,0,1.0,,0.7029
hsa-mir-4714,1,0,1,1.0,,0.4643
hsa-mir-934,1,0,1,1.0,,0.19
hsa-mir-3927,1,0,1,1.0,,0.3207
hsa-mir-4637,1,0,1,0.0,,0.7587
hsa-mir-4518,1,1,0,0.0,,0.4132
hsa-mir-548y,1,0,1,0.0,,0.5188
hsa-mir-548ab,1,0,1,0.0,,0.8558
hsa-mir-11399,1,0,1,0.0,,0.5638
hsa-mir-216a,1,0,1,0.0,,0.6951
hsa-mir-5585,1,0,1,1.0,,0.2524
hsa-mir-6806,1,0,1,1.0,,0.1609
hsa-mir-3130-1,1,0,1,1.0,,0.3561
hsa-mir-4657,1,0,1,1.0,,0.2079
hsa-mir-12117,1,1,0,0.0,,0.4394
hsa-mir-6850,1,0,1,1.0,,0.2337
hsa-mir-4494,1,0,1,1.0,,0.2081
hsa-mir-502,1,1,0,1.0,,0.6254
hsa-mir-6895,1,1,0,0.0,,0.3124
hsa-mir-196a-1,1,1,0,0.0,,0.2397
hsa-mir-301a,1,1,0,0.0,,0.3805
hsa-mir-302c,1,1,0,1.0,,0.6648
hsa-mir-4302,1,0,1,1.0,,0.1933
hsa-mir-4320,1,0,1,1.0,,0.1831
hsa-mir-3680-1,1,0,1,0.0,,0.7104
hsa-mir-6824,1,1,0,0.0,,0.3483
hsa-mir-8062,1,0,1,0.0,,0.9769
hsa-mir-500a,1,1,0,1.0,,0.5086
hsa-mir-4729,1,0,1,1.0,,0.1926
hsa-mir-4515,1,0,1,0.0,,0.507
hsa-mir-6885,1,0,1,1.0,,0.2688
hsa-mir-1914,1,1,0,1.0,,0.5566
hsa-mir-1203,1,0,1,1.0,,0.489
hsa-mir-5007,1,0,1,1.0,,0.4056
hsa-mir-4779,1,0,1,1.0,,0.3787
hsa-mir-4721,1,1,0,0.0,,0.2082
hsa-mir-8065,1,0,1,0.0,,0.7792
hsa-mir-5689,1,0,1,0.0,,0.9243
hsa-mir-556,1,1,0,0.0,,0.2256
hsa-mir-3177,1,0,1,0.0,,0.732
hsa-mir-6511a-3,1,0,1,1.0,,0.4974
hsa-mir-4999,1,0,1,0.0,,0.759
hsa-mir-3924,1,0,1,1.0,,0.425
hsa-mir-511,1,0,1,0.0,,0.8724
hsa-mir-4454,1,0,1,1.0,,0.1615
hsa-mir-6511a-1,1,0,1,0.0,,0.5116
hsa-mir-550a-3,1,0,1,0.0,,0.6122
hsa-mir-652,1,0,1,0.0,,0.5022
hsa-mir-3666,1,1,0,1.0,,0.6153
hsa-mir-4476,1,0,1,1.0,,0.3016
hsa-mir-4700,1,0,1,1.0,,0.2272
hsa-mir-642a,1,0,1,0.0,,0.8795
hsa-mir-6501,1,1,0,1.0,,0.7408
hsa-mir-205,1,1,0,1.0,,0.5866
hsa-mir-664b,1,1,0,0.0,,0.2205
hsa-mir-7845,1,0,1,1.0,,0.3474
hsa-mir-5587,1,0,1,1.0,,0.2033
hsa-mir-29c,1,1,0,1.0,,0.8768
hsa-mir-1296,1,1,0,1.0,,0.874
hsa-mir-513c,1,0,1,0.0,,0.6138
hsa-mir-1256,1,1,0,1.0,,0.7782
hsa-mir-611,1,0,1,1.0,,0.1707
hsa-mir-4769,1,0,1,1.0,,0.4343
hsa-mir-3619,1,0,1,1.0,,0.2738
hsa-mir-6832,1,1,0,0.0,,0.2243
hsa-mir-4434,1,1,0,0.0,,0.1178
hsa-mir-6090,1,0,1,0.0,,0.5656
hsa-mir-1302-10,1,0,1,0.0,,0.5316
hsa-mir-3977,1,0,1,0.0,,0.5165
hsa-mir-1912,1,0,1,0.0,,0.5038
hsa-mir-298,1,1,0,0.0,,0.1977
hsa-mir-6875,1,0,1,1.0,,0.3584
hsa-mir-5591,1,0,1,1.0,,0.2431
hsa-mir-125a,1,1,0,0.0,,0.1848
hsa-mir-5008,1,0,1,0.0,,0.6515
hsa-mir-7107,1,0,1,0.0,,0.6608
hsa-mir-224,1,0,1,0.0,,0.7283
hsa-mir-137,1,1,0,1.0,,0.7165
hsa-mir-4679-2,1,0,1,1.0,,0.3161
hsa-mir-374b,1,1,0,0.0,,0.4455
hsa-mir-4791,1,0,1,1.0,,0.3344
hsa-mir-6865,1,1,0,0.0,,0.3676
hsa-mir-326,1,0,1,0.0,,0.5607
hsa-mir-3940,1,1,0,1.0,,0.6313
hsa-mir-2116,1,1,0,0.0,,0.3693
hsa-mir-548a-1,1,0,1,1.0,,0.2697
hsa-mir-4469,1,0,1,1.0,,0.4013
hsa-mir-26a-2,1,1,0,0.0,,0.4184
hsa-mir-548at,1,0,1,1.0,,0.3235
hsa-mir-4321,1,1,0,1.0,,0.552
hsa-mir-4649,1,0,1,1.0,,0.3975
hsa-mir-1252,1,0,1,1.0,,0.2053
hsa-mir-4305,1,1,0,1.0,,0.7666
hsa-mir-554,1,0,1,0.0,,0.5402
hsa-mir-30b,1,1,0,1.0,,0.9181
hsa-mir-7110,1,0,1,1.0,,0.4575
hsa-mir-8072,1,0,1,1.0,,0.4486
hsa-mir-648,1,1,0,0.0,,0.3374
hsa-mir-6893,1,1,0,0.0,,0.4111
hsa-mir-4752,1,0,1,1.0,,0.3928
hsa-mir-941-1,1,1,0,0.0,,0.2455
hsa-mir-5702,1,0,1,0.0,,0.7107
hsa-mir-8075,1,0,1,1.0,,0.4575
hsa-mir-378d-2,1,0,1,1.0,,0.4839
hsa-mir-3118-3,1,0,1,1.0,,0.2127
hsa-mir-3660,1,0,1,1.0,,0.4763
hsa-mir-5091,1,1,0,0.0,,0.2181
hsa-mir-548f-5,1,0,1,0.0,,0.6806
hsa-mir-4778,1,0,1,0.0,,0.5357
hsa-mir-8084,1,0,1,1.0,,0.4993
hsa-mir-153-1,1,1,0,1.0,,0.7416
hsa-mir-367,1,1,0,0.0,,0.4176
hsa-mir-4468,1,0,1,1.0,,0.233
hsa-mir-5002,1,0,1,1.0,,0.4551
hsa-mir-3649,1,0,1,1.0,,0.2305
hsa-mir-548ai,1,0,1,0.0,,0.5233
hsa-mir-563,1,1,0,1.0,,0.5816
hsa-mir-3664,1,0,1,1.0,,0.4992
hsa-mir-548u,1,0,1,1.0,,0.4442
hsa-mir-4280,1,0,1,1.0,,0.3872
hsa-mir-6867,1,0,1,1.0,,0.4023
hsa-mir-551a,1,0,1,0.0,,0.6691
hsa-mir-6853,1,1,0,0.0,,0.3212
hsa-mir-2053,1,0,1,0.0,,0.5309
hsa-mir-630,1,1,0,1.0,,0.6001
hsa-mir-7850,1,0,1,1.0,,0.2842
hsa-mir-6072,1,0,1,1.0,,0.4728
hsa-mir-4727,1,0,1,1.0,,0.2225
hsa-mir-1237,1,1,0,1.0,,0.6381
hsa-mir-193a,1,0,1,1.0,,0.375
hsa-mir-1298,1,0,1,0.0,,0.5492
hsa-mir-152,1,1,0,0.0,,0.4269
hsa-mir-1284,1,0,1,0.0,,0.611
hsa-mir-583,1,0,1,1.0,,0.4173
hsa-mir-4722,1,1,0,0.0,,0.3448
hsa-mir-548bc,1,0,1,0.0,,0.6503
hsa-mir-4690,1,0,1,1.0,,0.3499
hsa-mir-4475,1,0,1,1.0,,0.1811
hsa-mir-4691,1,1,0,0.0,,0.2189
hsa-mir-4426,1,0,1,1.0,,0.3975
hsa-mir-487a,1,1,0,0.0,,0.4534
hsa-mir-3119-2,1,0,1,1.0,,0.4217
hsa-mir-6860,1,0,1,1.0,,0.2479
hsa-mir-6836,1,0,1,1.0,,0.207
hsa-mir-1272,1,1,0,1.0,,0.5642
hsa-mir-3137,1,0,1,1.0,,0.4341
hsa-mir-548ay,1,0,1,1.0,,0.4007
hsa-mir-12130,1,0,1,0.0,,0.5839
hsa-mir-1908,1,1,0,1.0,,0.5711
hsa-mir-3156-2,1,1,0,0.0,,0.4703
hsa-mir-3606,1,1,0,0.0,,0.3329
hsa-mir-3198-1,1,0,1,1.0,,0.4208
hsa-mir-29a,1,1,0,0.0,,0.1543
hsa-mir-4511,1,0,1,1.0,,0.459
hsa-mir-320d-2,1,0,1,1.0,,0.3943
hsa-mir-126,1,1,0,0.0,,0.3975
hsa-mir-4519,1,0,1,1.0,,0.2346
hsa-mir-3677,1,0,1,1.0,,0.3482
hsa-mir-4502,1,0,1,0.0,,0.5824
hsa-mir-15b,1,1,0,0.0,,0.4943
hsa-mir-378d-1,1,0,1,1.0,,0.2242
hsa-mir-1245b,1,0,1,1.0,,0.2855
hsa-mir-6768,1,1,0,0.0,,0.3575
hsa-mir-4328,1,0,1,1.0,,0.2143
hsa-mir-515-2,1,1,0,1.0,,0.9515
hsa-mir-96,1,1,0,0.0,,0.4619
hsa-mir-676,1,0,1,1.0,,0.215
hsa-mir-4687,1,1,0,1.0,,0.6462
hsa-mir-509-3,1,1,0,0.0,,0.4528
hsa-mir-1271,1,1,0,1.0,,0.9309
hsa-mir-219a-2,1,1,0,1.0,,0.5937
hsa-mir-6858,1,0,1,1.0,,0.2768
hsa-mir-941-4,1,0,1,1.0,,0.3915
hsa-mir-1587,1,0,1,1.0,,0.4256
hsa-mir-4661,1,0,1,1.0,,0.1519
hsa-mir-548h-5,1,0,1,1.0,,0.1447
hsa-mir-1972-2,1,0,1,1.0,,0.2325
hsa-mir-302f,1,0,1,1.0,,0.1158
hsa-mir-1302-2,1,1,0,1.0,,0.713
hsa-mir-4764,1,0,1,1.0,,0.4458
hsa-mir-204,1,1,0,1.0,,0.5589
hsa-mir-3178,1,1,0,0.0,,0.4872
hsa-mir-6821,1,1,0,0.0,,0.3283
hsa-mir-7515,1,0,1,1.0,,0.4469
hsa-mir-548s,1,1,0,1.0,,0.5207
hsa-mir-4652,1,0,1,1.0,,0.4947
hsa-mir-4801,1,1,0,0.0,,0.4989
hsa-mir-631,1,1,0,0.0,,0.2031
hsa-mir-146a,1,0,1,0.0,,0.5803
hsa-mir-3193,1,0,1,1.0,,0.3277
hsa-mir-3913-1,1,1,0,0.0,,0.456
hsa-mir-5680,1,0,1,1.0,,0.3233
hsa-mir-5708,1,0,1,1.0,,0.2544
hsa-mir-181a-2,1,1,0,0.0,,0.4448
hsa-mir-8060,1,0,1,1.0,,0.4963
hsa-mir-12121,1,0,1,1.0,,0.4477
hsa-mir-6499,1,0,1,1.0,,0.4859
hsa-mir-6732,1,1,0,0.0,,0.4031
hsa-mir-646,1,0,1,0.0,,0.5057
hsa-mir-4686,1,0,1,1.0,,0.4643
hsa-mir-4428,1,0,1,1.0,,0.451
hsa-mir-7154,1,0,1,1.0,,0.3973
hsa-mir-6843,1,0,1,0.0,,0.6971
hsa-mir-575,1,0,1,0.0,,0.6507
hsa-mir-1258,1,0,1,1.0,,0.182
hsa-mir-548i-4,1,0,1,1.0,,0.1901
hsa-mir-4731,1,0,1,1.0,,0.3645
hsa-mir-3164,1,1,0,0.0,,0.2207
hsa-mir-586,1,0,1,1.0,,0.3421
hsa-mir-6134,1,0,1,0.0,,0.7034
hsa-mir-330,1,1,0,0.0,,0.4471
hsa-mir-624,1,0,1,1.0,,0.4733
hsa-mir-4667,1,1,0,0.0,,0.404
hsa-mir-2861,1,1,0,0.0,,0.4464
hsa-mir-4330,1,0,1,0.0,,0.6422
hsa-mir-6742,1,0,1,1.0,,0.4624
hsa-mir-6790,1,1,0,0.0,,0.2644
hsa-mir-6780a,1,0,1,1.0,,0.4057
hsa-mir-6514,1,1,0,0.0,,0.2627
hsa-mir-9903,1,0,1,1.0,,0.2744
hsa-mir-6083,1,0,1,0.0,,0.5892
hsa-mir-4481,1,0,1,1.0,,0.337
hsa-mir-4420,1,1,0,1.0,,0.6208
hsa-mir-4505,1,0,1,1.0,,0.3475
hsa-mir-557,1,0,1,1.0,,0.4456
hsa-mir-3129,1,0,1,1.0,,0.3868
hsa-mir-3654,1,0,1,1.0,,0.378
hsa-mir-7160,1,0,1,0.0,,0.5397
hsa-mir-1468,1,0,1,1.0,,0.2786
hsa-mir-6871,1,0,1,1.0,,0.3446
hsa-mir-645,1,1,0,0.0,,0.4081
hsa-mir-215,1,1,0,1.0,,0.8688
hsa-let-7e,1,1,0,1.0,,0.5412
hsa-mir-802,1,1,0,1.0,,0.7198
hsa-mir-559,1,0,1,0.0,,0.8555
hsa-mir-4457,1,0,1,0.0,,0.5738
hsa-mir-4765,1,0,1,1.0,,0.4691
hsa-mir-6891,1,1,0,0.0,,0.3464
hsa-mir-4775,1,0,1,1.0,,0.2425
hsa-mir-6819,1,1,0,0.0,,0.3705
hsa-mir-5186,1,0,1,0.0,,0.6565
hsa-mir-615,1,0,1,1.0,,0.3268
hsa-mir-6769b,1,0,1,1.0,,0.4255
hsa-mir-6827,1,0,1,1.0,,0.3625
hsa-mir-1269a,1,0,1,1.0,,0.3842
hsa-mir-138-2,1,0,1,1.0,,0.3158
hsa-mir-4660,1,1,0,1.0,,0.5008
hsa-mir-5692b,1,0,1,0.0,,0.557
hsa-mir-33b,1,1,0,1.0,,0.5527
hsa-mir-889,1,1,0,1.0,,0.5853
hsa-mir-1245a,1,0,1,1.0,,0.3074
hsa-mir-3622b,1,0,1,0.0,,0.6352
hsa-mir-3918,1,0,1,0.0,,0.6119
hsa-mir-3161,1,0,1,1.0,,0.4164
hsa-mir-4530,1,0,1,1.0,,0.2576
hsa-mir-4771-2,1,0,1,0.0,,0.5043
hsa-mir-4524b,1,0,1,0.0,,0.5253
hsa-mir-519e,1,1,0,0.0,,0.4234
hsa-mir-4695,1,0,1,0.0,,0.5953
hsa-mir-3910-2,1,0,1,1.0,,0.388
hsa-mir-4441,1,0,1,0.0,,0.7196
hsa-mir-7853,1,1,0,1.0,,0.7373
hsa-mir-3671,1,0,1,1.0,,0.3029
hsa-mir-200b,1,0,1,0.0,,0.5281
hsa-mir-576,1,0,1,1.0,,0.2524
hsa-mir-517a,1,1,0,1.0,,0.8316
hsa-mir-3133,1,0,1,1.0,,0.2625
hsa-mir-302a,1,0,1,1.0,,0.3158
hsa-mir-4803,1,0,1,1.0,,0.3638
hsa-mir-4271,1,1,0,0.0,,0.2507
hsa-mir-378c,1,0,1,0.0,,0.8162
hsa-mir-4433b,1,0,1,0.0,,0.5724
hsa-mir-483,1,1,0,0.0,,0.4524
hsa-mir-3156-3,1,0,1,1.0,,0.4691
hsa-mir-938,1,0,1,0.0,,0.5399
hsa-let-7b,1,1,0,0.0,,0.3389
hsa-mir-4655,1,0,1,1.0,,0.3981
hsa-mir-148a,1,1,0,0.0,,0.3191
hsa-mir-3141,1,0,1,1.0,,0.1269
hsa-mir-876,1,0,1,0.0,,0.8526
hsa-mir-4646,1,0,1,1.0,,0.3076
hsa-mir-133a-1,1,1,0,0.0,,0.4388
hsa-mir-6761,1,0,1,1.0,,0.4241
hsa-mir-4705,1,0,1,0.0,,0.6071
hsa-mir-101-2,1,1,0,1.0,,0.5798
hsa-mir-12128,1,0,1,0.0,,0.5869
hsa-mir-429,1,1,0,1.0,,0.5538
hsa-mir-3621,1,0,1,0.0,,0.5376
hsa-mir-6841,1,1,0,1.0,,0.7208
hsa-mir-5691,1,0,1,1.0,,0.363
hsa-mir-4498,1,1,0,1.0,,0.8033
hsa-mir-20b,1,1,0,0.0,,0.2419
hsa-mir-6801,1,0,1,1.0,,0.1815
hsa-mir-3675,1,0,1,1.0,,0.4086
hsa-mir-513b,1,0,1,0.0,,0.5593
hsa-mir-4270,1,0,1,1.0,,0.4815
hsa-mir-614,1,1,0,1.0,,0.6981
hsa-mir-5011,1,0,1,0.0,,0.7132
hsa-mir-665,1,1,0,0.0,,0.3143
hsa-mir-6863,1,0,1,1.0,,0.2697
hsa-mir-377,1,1,0,1.0,,0.673
hsa-mir-188,1,1,0,1.0,,0.7677
hsa-mir-6809,1,0,1,0.0,,0.7903
hsa-mir-2278,1,0,1,0.0,,0.8474
hsa-mir-548z,1,0,1,1.0,,0.3628
hsa-mir-5695,1,1,0,0.0,,0.3289
hsa-mir-4747,1,0,1,1.0,,0.3803
hsa-mir-4487,1,0,1,1.0,,0.3051
hsa-mir-643,1,1,0,1.0,,0.5641
hsa-mir-3667,1,0,1,1.0,,0.4759
hsa-mir-6756,1,1,0,0.0,,0.4545
hsa-mir-3127,1,0,1,1.0,,0.1489
hsa-mir-1193,1,1,0,1.0,,0.8021
hsa-mir-7852,1,0,1,1.0,,0.3857
hsa-mir-8069-2,1,0,1,1.0,,0.318
hsa-mir-7974,1,1,0,0.0,,0.0609
hsa-mir-6838,1,0,1,1.0,,0.3533
hsa-mir-544a,1,1,0,0.0,,0.3313
hsa-mir-548ac,1,0,1,1.0,,0.3934
hsa-mir-4697,1,0,1,1.0,,0.4267
hsa-mir-891a,1,0,1,0.0,,0.7377
hsa-mir-548aq,1,0,1,1.0,,0.3281
hsa-mir-141,1,1,0,0.0,,0.4685
hsa-mir-5188,1,0,1,1.0,,0.2474
hsa-mir-6873,1,1,0,0.0,,0.2737
hsa-mir-548h-1,1,1,0,0.0,,0.075
hsa-mir-4745,1,1,0,0.0,,0.3264
hsa-mir-3976,1,0,1,0.0,,0.77
hsa-mir-3972,1,0,1,1.0,,0.3773
hsa-mir-6165,1,0,1,1.0,,0.3822
hsa-mir-4742,1,1,0,1.0,,0.6173
hsa-mir-759,1,0,1,1.0,,0.1754
hsa-mir-4480,1,0,1,1.0,,0.2364
hsa-mir-7977,1,0,1,1.0,,0.4275
hsa-mir-3134,1,1,0,0.0,,0.4099
hsa-mir-6729,1,0,1,1.0,,0.1182
hsa-mir-4771-1,1,0,1,1.0,,0.0762
hsa-mir-3617,1,0,1,1.0,,0.4029
hsa-mir-4422,1,1,0,1.0,,0.5072
hsa-mir-2681,1,0,1,1.0,,0.2258
hsa-mir-4790,1,0,1,1.0,,0.244
hsa-mir-4312,1,0,1,1.0,,0.2172
hsa-mir-4643,1,0,1,1.0,,0.472
hsa-mir-3171,1,0,1,1.0,,0.2054
hsa-mir-25,1,1,0,0.0,,0.2104
hsa-mir-9900,1,0,1,1.0,,0.4206
hsa-mir-6068,1,0,1,0.0,,0.6908
hsa-mir-4663,1,0,1,1.0,,0.3845
hsa-mir-4435-1,1,0,1,1.0,,0.338
hsa-mir-548ar,1,0,1,1.0,,0.3709
hsa-mir-4666b,1,0,1,1.0,,0.1307
hsa-mir-1282,1,1,0,0.0,,0.2148
hsa-mir-4284,1,0,1,1.0,,0.2712
hsa-mir-4692,1,0,1,1.0,,0.2904
hsa-mir-4474,1,0,1,1.0,,0.1828
hsa-mir-8054,1,0,1,1.0,,0.3724
hsa-mir-4644,1,0,1,1.0,,0.3443
hsa-mir-34c,1,1,0,1.0,,0.5069
hsa-mir-660,1,1,0,0.0,,0.416
hsa-mir-3609,1,0,1,1.0,,0.1921
hsa-mir-4296,1,0,1,0.0,,0.566
hsa-mir-6769a,1,0,1,0.0,,0.5201
hsa-mir-484,1,1,0,0.0,,0.2938
hsa-mir-1268a,1,0,1,1.0,,0.2558
hsa-mir-101-1,1,1,0,0.0,,0.3723
hsa-mir-18b,1,1,0,0.0,,0.3781
hsa-mir-130a,1,1,0,1.0,,0.6302
hsa-mir-633,1,0,1,0.0,,0.8894
hsa-let-7a-3,1,1,0,0.0,,0.2922
hsa-mir-103a-1,1,1,0,1.0,,0.8371
hsa-mir-4664,1,0,1,1.0,,0.4319
hsa-mir-10524,1,0,1,0.0,,0.6791
hsa-mir-4472-1,1,0,1,1.0,,0.2559
hsa-mir-4524a,1,0,1,1.0,,0.332
hsa-mir-6770-1,1,1,0,0.0,,0.2015
hsa-mir-3622a,1,0,1,1.0,,0.3483
hsa-mir-6859-4,1,1,0,0.0,,0.3464
hsa-mir-3941,1,1,0,1.0,,0.7088
hsa-mir-641,1,1,0,0.0,,0.309
hsa-mir-196b,1,1,0,0.0,,0.1778
hsa-mir-941-2,1,0,1,1.0,,0.3555
hsa-mir-4703,1,1,0,1.0,,0.941
hsa-mir-1-1,1,0,1,1.0,,0.4711
hsa-mir-6773,1,1,0,1.0,,0.5494
hsa-mir-521-1,1,1,0,1.0,,0.8702
hsa-mir-3196,1,0,1,1.0,,0.1535
hsa-mir-4444-2,1,0,1,1.0,,0.3891
hsa-mir-3123,1,0,1,1.0,,0.434
hsa-mir-199a-1,1,0,1,1.0,,0.4973
hsa-mir-4744,1,1,0,1.0,,0.6304
hsa-mir-3159,1,0,1,1.0,,0.4847
hsa-mir-4784,1,0,1,0.0,,0.5507
hsa-mir-512-2,1,1,0,1.0,,0.608
hsa-mir-145,1,1,0,0.0,,0.2234
hsa-mir-603,1,0,1,1.0,,0.3077
hsa-mir-345,1,0,1,1.0,,0.4092
hsa-mir-4685,1,1,0,0.0,,0.4008
hsa-mir-4672,1,0,1,1.0,,0.2325
hsa-mir-10399,1,0,1,1.0,,0.1962
hsa-mir-6128,1,1,0,0.0,,0.3562
hsa-mir-6081,1,0,1,1.0,,0.451
hsa-mir-4671,1,0,1,0.0,,0.5293
hsa-mir-4650-2,1,0,1,1.0,,0.1753
hsa-mir-7112,1,0,1,1.0,,0.3743
hsa-mir-4802,1,0,1,1.0,,0.4007
hsa-mir-6130,1,0,1,1.0,,0.4002
hsa-mir-5092,1,0,1,0.0,,0.5527
hsa-mir-4445,1,0,1,1.0,,0.3884
hsa-mir-6786,1,0,1,1.0,,0.2753
hsa-mir-3907,1,0,1,1.0,,0.3019
hsa-mir-331,1,1,0,0.0,,0.3686
hsa-mir-4491,1,1,0,0.0,,0.3442
hsa-mir-933,1,0,1,1.0,,0.4881
hsa-mir-6133,1,0,1,0.0,,0.7182
hsa-mir-4283-2,1,0,1,1.0,,0.4819
hsa-mir-342,1,1,0,0.0,,0.4947
hsa-mir-4326,1,0,1,1.0,,0.0832
hsa-mir-548f-4,1,0,1,0.0,,0.8767
